zero_shot_context_gpt,zero_shot_context_llama,few_shot_context_gpt,few_shot_context_llama
synthesis,synthesis,synthesis,synthesis
analysis,analysis,analysis,analysis
synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis
application,application,application,comprehension
evaluation,application,evaluation,evaluation
analysis,analysis,analysis,analysis
synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis
analysis,analysis,analysis,analysis
knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis
analysis,analysis,knowledge,analysis
application,comprehension,application,comprehension
synthesis,synthesis,synthesis,synthesis
application,application,application,application
comprehension,comprehension,comprehension,comprehension
knowledge,knowledge,knowledge,knowledge
knowledge,knowledge,knowledge,knowledge
application,application,application,synthesis
evaluation,evaluation,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge
evaluation,evaluation,evaluation,evaluation
synthesis,application,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension
evaluation,evaluation,evaluation,evaluation
synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge
evaluation,application,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis
evaluation,evaluation,evaluation,evaluation
synthesis,analysis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge
comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,comprehension,synthesis
knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis
evaluation,evaluation,evaluation,evaluation
analysis,analysis,analysis,analysis
knowledge,knowledge,knowledge,knowledge
analysis,analysis,analysis,analysis
analysis,analysis,analysis,analysis
evaluation,evaluation,evaluation,evaluation
knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge
comprehension,comprehension,comprehension,comprehension
evaluation,evaluation,evaluation,evaluation
synthesis,synthesis,synthesis,synthesis
application,application,application,application
evaluation,evaluation,evaluation,evaluation
evaluation,evaluation,evaluation,evaluation
knowledge,knowledge,knowledge,knowledge
knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis
application,application,application,application
synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension
application,application,application,synthesis
analysis,comprehension,analysis,analysis
evaluation,evaluation,evaluation,evaluation
analysis,analysis,comprehension,comprehension
knowledge,knowledge,knowledge,knowledge
synthesis,evaluation,synthesis,synthesis
evaluation,evaluation,knowledge,evaluation
comprehension,comprehension,comprehension,comprehension
comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis
evaluation,analysis,analysis,analysis
knowledge,knowledge,knowledge,knowledge
analysis,analysis,analysis,analysis
synthesis,synthesis,synthesis,synthesis
comprehension,knowledge,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge
analysis,evaluation,analysis,evaluation
knowledge,knowledge,knowledge,knowledge
evaluation,evaluation,evaluation,evaluation
knowledge,knowledge,knowledge,knowledge
synthesis,application,application,application
comprehension,comprehension,comprehension,comprehension
application,application,analysis,synthesis
synthesis,synthesis,synthesis,synthesis
evaluation,evaluation,evaluation,evaluation
evaluation,evaluation,evaluation,evaluation
analysis,analysis,analysis,analysis
analysis,application,application,application
synthesis,application,application,synthesis
application,knowledge,application,synthesis
synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge
knowledge,knowledge,knowledge,knowledge
knowledge,knowledge,knowledge,comprehension
comprehension,comprehension,comprehension,comprehension
comprehension,comprehension,comprehension,comprehension
evaluation,evaluation,evaluation,evaluation
knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,application,synthesis
synthesis,synthesis,synthesis,synthesis
analysis,analysis,analysis,analysis
application,synthesis,application,application
analysis,analysis,analysis,analysis
analysis,analysis,analysis,analysis
evaluation,evaluation,evaluation,synthesis
knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge
application,application,application,analysis
evaluation,evaluation,evaluation,evaluation
synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis
