cot_no_context_gpt,cot_no_context_llama
synthesis,synthesis
analysis,analysis
synthesis,synthesis
synthesis,synthesis
synthesis,synthesis
comprehension,comprehension
synthesis,synthesis
synthesis,synthesis
application,comprehension
evaluation,evaluation
analysis,analysis
synthesis,synthesis
comprehension,comprehension
synthesis,synthesis
analysis,analysis
knowledge,comprehension
synthesis,synthesis
analysis,analysis
application,analysis
synthesis,synthesis
application,application
comprehension,comprehension
knowledge,knowledge
knowledge,knowledge
synthesis,application
evaluation,evaluation
synthesis,synthesis
application,application
synthesis,synthesis
synthesis,synthesis
knowledge,knowledge
synthesis,evaluation
synthesis,synthesis
comprehension,comprehension
evaluation,evaluation
synthesis,synthesis
synthesis,synthesis
knowledge,knowledge
evaluation,application
analysis,comprehension
synthesis,synthesis
analysis,evaluation
synthesis,analysis
application,knowledge
comprehension,comprehension
comprehension,synthesis
knowledge,knowledge
synthesis,synthesis
evaluation,evaluation
analysis,analysis
knowledge,knowledge
analysis,analysis
analysis,analysis
evaluation,evaluation
knowledge,knowledge
synthesis,synthesis
knowledge,knowledge
comprehension,comprehension
evaluation,evaluation
synthesis,synthesis
application,application
evaluation,evaluation
evaluation,evaluation
knowledge,knowledge
knowledge,knowledge
synthesis,synthesis
synthesis,synthesis
application,application
synthesis,synthesis
comprehension,comprehension
application,application
analysis,application
evaluation,evaluation
analysis,analysis
knowledge,knowledge
synthesis,synthesis
knowledge,evaluation
comprehension,comprehension
comprehension,comprehension
synthesis,synthesis
evaluation,analysis
knowledge,knowledge
analysis,analysis
synthesis,synthesis
comprehension,comprehension
synthesis,synthesis
comprehension,comprehension
synthesis,synthesis
knowledge,knowledge
analysis,analysis
knowledge,knowledge
evaluation,evaluation
knowledge,knowledge
analysis,application
comprehension,comprehension
synthesis,synthesis
synthesis,synthesis
evaluation,evaluation
evaluation,evaluation
analysis,evaluation
application,application
application,synthesis
application,synthesis
synthesis,synthesis
knowledge,knowledge
knowledge,analysis
comprehension,analysis
comprehension,comprehension
comprehension,comprehension
evaluation,evaluation
knowledge,knowledge
synthesis,synthesis
synthesis,synthesis
analysis,analysis
application,synthesis
analysis,analysis
analysis,analysis
evaluation,evaluation
knowledge,knowledge
synthesis,synthesis
knowledge,knowledge
application,analysis
evaluation,synthesis
synthesis,synthesis
knowledge,application
synthesis,synthesis
