zero_shot_context_gpt,zero_shot_context_llama,few_shot_context_gpt,few_shot_context_llama,dafs_context_gpt,dafs_context_llama,cot_context_llama,dazs_context_gpt,dazs_context_llama,cot_context_llama.1,defination_few_shot_context_gpt,defination_few_shot_context_llama
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
analysis,analysis,analysis,analysis,analysis,analysis,analysis,analysis,analysis,analysis,analysis,analysis
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension,comprehension,comprehension,comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
application,application,application,comprehension,application,comprehension,synthesis,application,comprehension,synthesis,application,comprehension
evaluation,application,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation,evaluation
analysis,analysis,analysis,analysis,analysis,analysis,analysis,analysis,analysis,analysis,analysis,analysis
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension,comprehension,comprehension,comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
analysis,analysis,analysis,analysis,analysis,analysis,analysis,analysis,analysis,analysis,analysis,analysis
knowledge,knowledge,knowledge,knowledge,knowledge,knowledge,knowledge,knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis,synthesis
analysis,analysis,knowledge,analysis,knowledge,analysis,analysis,knowledge,analysis,analysis,analysis,comprehension
application,comprehension,application,comprehension,comprehension,comprehension,analysis,comprehension,comprehension,analysis,comprehension,comprehension
