professor_gpt_cot,student_gpt_cot,psychiatrist_gpt_cot
synthesis,synthesis,synthesis
analysis,analysis,analysis
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
comprehension,knowledge,comprehension
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
application,knowledge,comprehension
evaluation,evaluation,evaluation
analysis,analysis,analysis
synthesis,synthesis,synthesis
comprehension,comprehension,comprehension
synthesis,synthesis,synthesis
analysis,analysis,analysis
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
knowledge,comprehension,comprehension
comprehension,application,application
synthesis,synthesis,synthesis
application,application,application
comprehension,comprehension,comprehension
knowledge,knowledge,knowledge
knowledge,knowledge,knowledge
application,synthesis,application
evaluation,evaluation,synthesis
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
evaluation,evaluation,evaluation
synthesis,synthesis,synthesis
comprehension,comprehension,comprehension
evaluation,evaluation,evaluation
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
evaluation,synthesis,synthesis
comprehension,comprehension,analysis
synthesis,synthesis,synthesis
comprehension,evaluation,evaluation
synthesis,synthesis,synthesis
knowledge,knowledge,application
comprehension,comprehension,comprehension
comprehension,synthesis,comprehension
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
evaluation,evaluation,evaluation
analysis,analysis,analysis
knowledge,knowledge,knowledge
analysis,analysis,analysis
analysis,analysis,analysis
evaluation,evaluation,evaluation
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
comprehension,comprehension,comprehension
evaluation,evaluation,evaluation
synthesis,synthesis,synthesis
application,synthesis,application
evaluation,evaluation,evaluation
evaluation,evaluation,evaluation
knowledge,knowledge,knowledge
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
application,application,application
synthesis,synthesis,synthesis
comprehension,comprehension,comprehension
application,synthesis,synthesis
analysis,analysis,analysis
evaluation,evaluation,evaluation
comprehension,analysis,analysis
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
evaluation,evaluation,analysis
comprehension,comprehension,comprehension
comprehension,comprehension,comprehension
synthesis,synthesis,synthesis
analysis,evaluation,analysis
knowledge,knowledge,knowledge
analysis,analysis,analysis
synthesis,synthesis,synthesis
knowledge,comprehension,comprehension
synthesis,synthesis,synthesis
comprehension,comprehension,comprehension
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
analysis,analysis,analysis
knowledge,knowledge,knowledge
evaluation,evaluation,evaluation
knowledge,knowledge,knowledge
application,application,application
comprehension,comprehension,comprehension
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
evaluation,evaluation,evaluation
evaluation,evaluation,evaluation
analysis,analysis,analysis
application,application,application
comprehension,application,application
application,application,application
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
knowledge,knowledge,knowledge
knowledge,knowledge,comprehension
comprehension,comprehension,comprehension
comprehension,comprehension,comprehension
evaluation,evaluation,evaluation
knowledge,knowledge,knowledge
application,synthesis,application
synthesis,synthesis,synthesis
analysis,analysis,analysis
application,application,application
analysis,analysis,analysis
analysis,analysis,analysis
evaluation,evaluation,evaluation
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
application,application,application
evaluation,evaluation,evaluation
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
