professor_llama,student_llama,psychiatrist_llama,engineer_llama,examiner_llama
synthesis,synthesis,synthesis,synthesis,synthesis
analysis,analysis,analysis,analysis,analysis
synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,evaluation,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension
evaluation,evaluation,evaluation,evaluation,evaluation
analysis,analysis,analysis,analysis,analysis
synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis
analysis,analysis,analysis,analysis,analysis
knowledge,analysis,knowledge,knowledge,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis
analysis,analysis,analysis,analysis,analysis
comprehension,comprehension,application,comprehension,comprehension
synthesis,application,synthesis,synthesis,application
application,application,application,application,application
comprehension,comprehension,comprehension,comprehension,comprehension
knowledge,knowledge,knowledge,knowledge,knowledge
knowledge,knowledge,knowledge,knowledge,knowledge
application,application,application,application,application
evaluation,evaluation,synthesis,synthesis,evaluation
comprehension,application,application,synthesis,synthesis
synthesis,application,synthesis,synthesis,application
synthesis,application,application,application,application
synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge
evaluation,evaluation,evaluation,evaluation,evaluation
synthesis,application,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension
evaluation,evaluation,evaluation,evaluation,evaluation
synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,application,synthesis,synthesis,application
comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis
evaluation,evaluation,evaluation,evaluation,evaluation
synthesis,synthesis,analysis,analysis,analysis
knowledge,knowledge,knowledge,knowledge,knowledge
comprehension,comprehension,comprehension,comprehension,comprehension
comprehension,comprehension,synthesis,comprehension,comprehension
knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis,synthesis
evaluation,evaluation,evaluation,evaluation,evaluation
comprehension,analysis,comprehension,analysis,comprehension
knowledge,knowledge,knowledge,knowledge,knowledge
analysis,analysis,analysis,analysis,analysis
analysis,analysis,analysis,analysis,comprehension
evaluation,evaluation,evaluation,evaluation,application
knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge
comprehension,comprehension,comprehension,comprehension,comprehension
evaluation,evaluation,evaluation,evaluation,evaluation
synthesis,synthesis,synthesis,synthesis,synthesis
application,application,application,application,application
evaluation,evaluation,evaluation,evaluation,evaluation
evaluation,evaluation,evaluation,evaluation,evaluation
knowledge,knowledge,knowledge,knowledge,knowledge
knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,application,application,application
synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension
application,application,application,application,application
comprehension,comprehension,analysis,comprehension,comprehension
evaluation,evaluation,evaluation,evaluation,evaluation
comprehension,comprehension,comprehension,comprehension,comprehension
knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,evaluation,synthesis,synthesis,synthesis
evaluation,evaluation,analysis,comprehension,application
comprehension,comprehension,comprehension,comprehension,comprehension
comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis
analysis,analysis,analysis,analysis,analysis
knowledge,knowledge,knowledge,knowledge,knowledge
comprehension,analysis,analysis,analysis,analysis
synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge
evaluation,analysis,analysis,analysis,evaluation
knowledge,knowledge,knowledge,knowledge,knowledge
evaluation,evaluation,evaluation,evaluation,evaluation
knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,application,application,application,application
comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,application,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,evaluation
evaluation,evaluation,evaluation,evaluation,evaluation
evaluation,evaluation,evaluation,evaluation,evaluation
analysis,analysis,analysis,analysis,analysis
analysis,comprehension,application,analysis,application
application,application,application,application,application
knowledge,knowledge,knowledge,knowledge,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge
knowledge,knowledge,knowledge,knowledge,knowledge
knowledge,knowledge,knowledge,comprehension,comprehension
comprehension,comprehension,comprehension,comprehension,comprehension
comprehension,comprehension,comprehension,comprehension,comprehension
evaluation,evaluation,evaluation,evaluation,evaluation
knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,application,synthesis,synthesis,synthesis
synthesis,application,synthesis,synthesis,synthesis
analysis,analysis,analysis,analysis,analysis
evaluation,application,application,application,synthesis
analysis,analysis,analysis,analysis,analysis
analysis,analysis,analysis,analysis,analysis
synthesis,evaluation,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,comprehension,knowledge,knowledge,knowledge
comprehension,application,analysis,application,application
synthesis,synthesis,evaluation,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis,synthesis
