professor_llama,student_llama,psychiatrist_llama
synthesis,synthesis,synthesis
analysis,analysis,analysis
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
comprehension,comprehension,comprehension
synthesis,evaluation,synthesis
synthesis,synthesis,synthesis
comprehension,comprehension,comprehension
evaluation,evaluation,evaluation
analysis,analysis,analysis
synthesis,synthesis,synthesis
comprehension,comprehension,comprehension
synthesis,synthesis,synthesis
analysis,analysis,analysis
knowledge,analysis,knowledge
synthesis,synthesis,synthesis
analysis,analysis,analysis
comprehension,comprehension,application
synthesis,application,synthesis
application,application,application
comprehension,comprehension,comprehension
knowledge,knowledge,knowledge
knowledge,knowledge,knowledge
application,application,application
evaluation,evaluation,synthesis
comprehension,application,application
synthesis,application,synthesis
synthesis,application,application
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
evaluation,evaluation,evaluation
synthesis,application,synthesis
comprehension,comprehension,comprehension
evaluation,evaluation,evaluation
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
synthesis,application,synthesis
comprehension,comprehension,comprehension
synthesis,synthesis,synthesis
evaluation,evaluation,evaluation
synthesis,synthesis,analysis
knowledge,knowledge,knowledge
comprehension,comprehension,comprehension
comprehension,comprehension,synthesis
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
evaluation,evaluation,evaluation
comprehension,analysis,comprehension
knowledge,knowledge,knowledge
analysis,analysis,analysis
analysis,analysis,analysis
evaluation,evaluation,evaluation
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
comprehension,comprehension,comprehension
evaluation,evaluation,evaluation
synthesis,synthesis,synthesis
application,application,application
evaluation,evaluation,evaluation
evaluation,evaluation,evaluation
knowledge,knowledge,knowledge
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
knowledge,knowledge,application
synthesis,synthesis,synthesis
comprehension,comprehension,comprehension
application,application,application
comprehension,comprehension,analysis
evaluation,evaluation,evaluation
comprehension,comprehension,comprehension
knowledge,knowledge,knowledge
synthesis,evaluation,synthesis
evaluation,evaluation,analysis
comprehension,comprehension,comprehension
comprehension,comprehension,comprehension
synthesis,synthesis,synthesis
analysis,analysis,analysis
knowledge,knowledge,knowledge
comprehension,analysis,analysis
synthesis,synthesis,synthesis
comprehension,comprehension,comprehension
synthesis,synthesis,synthesis
comprehension,comprehension,comprehension
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
evaluation,analysis,analysis
knowledge,knowledge,knowledge
evaluation,evaluation,evaluation
knowledge,knowledge,knowledge
synthesis,application,application
comprehension,comprehension,comprehension
synthesis,application,synthesis
synthesis,synthesis,synthesis
evaluation,evaluation,evaluation
evaluation,evaluation,evaluation
analysis,analysis,analysis
analysis,comprehension,application
application,application,application
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
knowledge,knowledge,knowledge
knowledge,knowledge,knowledge
comprehension,comprehension,comprehension
comprehension,comprehension,comprehension
evaluation,evaluation,evaluation
knowledge,knowledge,knowledge
synthesis,application,synthesis
synthesis,application,synthesis
analysis,analysis,analysis
evaluation,application,application
analysis,analysis,analysis
analysis,analysis,analysis
synthesis,evaluation,synthesis
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
knowledge,comprehension,knowledge
comprehension,application,analysis
synthesis,synthesis,evaluation
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
