professor_gpt,student_gpt,psychiatrist_gpt,engineer_gpt,examiner_gpt
synthesis,synthesis,synthesis,synthesis,synthesis
analysis,analysis,analysis,analysis,analysis
synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis
application,application,application,application,application
evaluation,evaluation,evaluation,evaluation,evaluation
analysis,analysis,analysis,analysis,analysis
synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis
analysis,analysis,analysis,analysis,analysis
knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,comprehension,comprehension
comprehension,application,comprehension,application,application
synthesis,synthesis,synthesis,synthesis,synthesis
application,application,application,application,application
comprehension,comprehension,comprehension,comprehension,comprehension
knowledge,knowledge,knowledge,knowledge,knowledge
knowledge,knowledge,knowledge,knowledge,knowledge
application,synthesis,synthesis,application,application
synthesis,evaluation,synthesis,evaluation,evaluation
comprehension,synthesis,application,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge
evaluation,evaluation,evaluation,evaluation,evaluation
synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension
evaluation,evaluation,evaluation,evaluation,evaluation
synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge
evaluation,evaluation,evaluation,synthesis,evaluation
comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,evaluation,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge
comprehension,comprehension,comprehension,comprehension,comprehension
comprehension,comprehension,comprehension,comprehension,comprehension
knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis,synthesis
evaluation,evaluation,evaluation,evaluation,evaluation
analysis,analysis,analysis,analysis,analysis
knowledge,knowledge,knowledge,knowledge,knowledge
analysis,analysis,analysis,analysis,analysis
analysis,analysis,analysis,analysis,analysis
knowledge,application,evaluation,evaluation,evaluation
knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge
comprehension,comprehension,comprehension,comprehension,comprehension
evaluation,evaluation,evaluation,evaluation,evaluation
synthesis,synthesis,synthesis,synthesis,synthesis
application,application,application,application,application
evaluation,evaluation,evaluation,evaluation,evaluation
evaluation,evaluation,evaluation,evaluation,evaluation
knowledge,knowledge,knowledge,knowledge,knowledge
knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis
application,application,application,application,knowledge
synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension
application,application,synthesis,application,application
application,application,analysis,comprehension,application
evaluation,evaluation,evaluation,evaluation,evaluation
comprehension,analysis,comprehension,comprehension,comprehension
knowledge,knowledge,knowledge,knowledge,knowledge
comprehension,evaluation,comprehension,synthesis,comprehension
knowledge,comprehension,knowledge,knowledge,comprehension
comprehension,comprehension,comprehension,comprehension,comprehension
comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis
analysis,evaluation,analysis,analysis,analysis
knowledge,knowledge,knowledge,knowledge,knowledge
analysis,analysis,analysis,analysis,analysis
synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis
comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge
analysis,evaluation,analysis,analysis,analysis
knowledge,knowledge,knowledge,knowledge,knowledge
evaluation,evaluation,evaluation,evaluation,evaluation
knowledge,knowledge,knowledge,knowledge,knowledge
application,application,synthesis,application,application
comprehension,comprehension,comprehension,comprehension,comprehension
synthesis,application,synthesis,synthesis,synthesis
synthesis,synthesis,synthesis,synthesis,synthesis
evaluation,evaluation,evaluation,evaluation,evaluation
evaluation,evaluation,evaluation,evaluation,evaluation
analysis,analysis,analysis,analysis,analysis
application,analysis,application,application,application
application,synthesis,application,application,synthesis
application,application,synthesis,application,application
synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge
knowledge,knowledge,knowledge,knowledge,knowledge
knowledge,knowledge,knowledge,comprehension,comprehension
comprehension,comprehension,comprehension,comprehension,comprehension
comprehension,comprehension,comprehension,comprehension,comprehension
evaluation,evaluation,evaluation,evaluation,evaluation
knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,application,synthesis
knowledge,application,synthesis,synthesis,synthesis
analysis,analysis,analysis,analysis,analysis
application,application,application,application,application
analysis,analysis,analysis,analysis,analysis
analysis,analysis,analysis,analysis,analysis
synthesis,evaluation,synthesis,evaluation,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge
application,application,application,application,application
evaluation,application,evaluation,evaluation,evaluation
synthesis,synthesis,synthesis,synthesis,synthesis
knowledge,knowledge,knowledge,knowledge,knowledge
synthesis,synthesis,synthesis,synthesis,synthesis
