cot_context_gpt,cot_context_llama
synthesis,synthesis
analysis,analysis
synthesis,synthesis
synthesis,synthesis
synthesis,synthesis
knowledge,knowledge
synthesis,synthesis
synthesis,synthesis
application,synthesis
evaluation,evaluation
analysis,analysis
synthesis,synthesis
comprehension,comprehension
synthesis,synthesis
analysis,analysis
knowledge,knowledge
synthesis,synthesis
analysis,analysis
application,application
synthesis,synthesis
synthesis,application
comprehension,comprehension
knowledge,knowledge
knowledge,knowledge
application,application
evaluation,evaluation
synthesis,synthesis
application,synthesis
synthesis,synthesis
synthesis,synthesis
knowledge,knowledge
evaluation,evaluation
synthesis,synthesis
comprehension,comprehension
evaluation,evaluation
synthesis,synthesis
synthesis,synthesis
knowledge,knowledge
evaluation,evaluation
analysis,comprehension
synthesis,synthesis
evaluation,evaluation
synthesis,analysis
application,application
comprehension,comprehension
synthesis,synthesis
knowledge,knowledge
synthesis,synthesis
evaluation,evaluation
analysis,analysis
knowledge,knowledge
analysis,analysis
analysis,analysis
evaluation,evaluation
knowledge,knowledge
synthesis,synthesis
knowledge,knowledge
comprehension,comprehension
evaluation,evaluation
synthesis,synthesis
application,application
evaluation,evaluation
evaluation,evaluation
knowledge,knowledge
knowledge,knowledge
synthesis,synthesis
synthesis,synthesis
application,application
synthesis,synthesis
comprehension,comprehension
application,application
analysis,analysis
evaluation,evaluation
analysis,analysis
knowledge,knowledge
synthesis,synthesis
evaluation,evaluation
comprehension,comprehension
comprehension,comprehension
synthesis,synthesis
evaluation,evaluation
knowledge,knowledge
analysis,analysis
synthesis,synthesis
comprehension,comprehension
synthesis,synthesis
comprehension,analysis
synthesis,synthesis
knowledge,knowledge
analysis,analysis
knowledge,knowledge
evaluation,evaluation
knowledge,knowledge
synthesis,synthesis
comprehension,comprehension
synthesis,synthesis
synthesis,synthesis
evaluation,evaluation
evaluation,evaluation
analysis,application
application,application
synthesis,application
application,knowledge
synthesis,synthesis
knowledge,knowledge
knowledge,analysis
analysis,knowledge
comprehension,comprehension
comprehension,comprehension
evaluation,evaluation
knowledge,knowledge
synthesis,application
synthesis,synthesis
analysis,analysis
application,synthesis
analysis,analysis
analysis,analysis
evaluation,evaluation
knowledge,knowledge
synthesis,synthesis
knowledge,knowledge
analysis,application
evaluation,application
synthesis,synthesis
knowledge,knowledge
synthesis,synthesis
