professor_llama_cot,student_llama_cot,psychiatrist_llama_cot
synthesis,synthesis,synthesis
analysis,analysis,analysis
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
comprehension,comprehension,comprehension
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
comprehension,synthesis,comprehension
application,evaluation,evaluation
analysis,analysis,analysis
synthesis,synthesis,synthesis
comprehension,comprehension,comprehension
synthesis,synthesis,synthesis
analysis,analysis,analysis
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
analysis,analysis,analysis
comprehension,analysis,application
synthesis,synthesis,synthesis
application,application,application
comprehension,comprehension,comprehension
knowledge,knowledge,knowledge
knowledge,knowledge,knowledge
application,synthesis,application
evaluation,evaluation,synthesis
comprehension,application,synthesis
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
evaluation,evaluation,evaluation
synthesis,synthesis,synthesis
comprehension,comprehension,comprehension
evaluation,evaluation,evaluation
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
comprehension,comprehension,comprehension
synthesis,synthesis,synthesis
comprehension,evaluation,evaluation
analysis,analysis,synthesis
knowledge,knowledge,knowledge
comprehension,comprehension,comprehension
comprehension,application,synthesis
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
evaluation,evaluation,evaluation
comprehension,analysis,analysis
knowledge,knowledge,knowledge
analysis,analysis,analysis
comprehension,analysis,analysis
evaluation,evaluation,evaluation
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
comprehension,comprehension,comprehension
evaluation,evaluation,evaluation
synthesis,synthesis,synthesis
application,application,application
evaluation,evaluation,evaluation
evaluation,evaluation,evaluation
comprehension,knowledge,knowledge
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
knowledge,application,application
synthesis,synthesis,synthesis
comprehension,comprehension,comprehension
application,application,synthesis
comprehension,analysis,comprehension
evaluation,evaluation,evaluation
comprehension,comprehension,comprehension
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
evaluation,evaluation,application
comprehension,comprehension,comprehension
comprehension,comprehension,comprehension
synthesis,synthesis,synthesis
analysis,evaluation,analysis
knowledge,knowledge,knowledge
analysis,analysis,analysis
synthesis,synthesis,synthesis
comprehension,comprehension,comprehension
synthesis,synthesis,synthesis
comprehension,comprehension,comprehension
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
evaluation,evaluation,analysis
knowledge,knowledge,knowledge
evaluation,evaluation,evaluation
knowledge,knowledge,knowledge
synthesis,application,application
comprehension,comprehension,comprehension
synthesis,synthesis,synthesis
synthesis,synthesis,synthesis
evaluation,evaluation,evaluation
evaluation,evaluation,evaluation
analysis,analysis,analysis
application,application,analysis
application,application,application
knowledge,synthesis,application
synthesis,synthesis,synthesis
knowledge,comprehension,knowledge
knowledge,knowledge,knowledge
knowledge,comprehension,knowledge
comprehension,comprehension,comprehension
comprehension,comprehension,comprehension
evaluation,evaluation,evaluation
knowledge,knowledge,knowledge
comprehension,synthesis,synthesis
synthesis,synthesis,synthesis
analysis,analysis,analysis
application,application,application
analysis,analysis,analysis
analysis,analysis,analysis
evaluation,evaluation,evaluation
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
comprehension,application,analysis
comprehension,evaluation,application
synthesis,synthesis,synthesis
knowledge,knowledge,knowledge
synthesis,synthesis,synthesis
